n_clusters,noise_pct,silhouette,davies_bouldin,calinski_harabasz,model,k
2,0.0,0.29789695819564593,1.3751857167206614,363.9873518480955,kmeans,2
3,0.0,0.227203518653778,1.4028354544430461,320.54371344637013,kmeans,3
4,0.0,0.237460176009699,1.3160718848040454,289.7689397731403,kmeans,4
5,0.0,0.18016606772338997,1.5856891858614108,249.54032223972806,kmeans,5
6,0.0,0.17150330686455517,1.5114917095854061,227.16077067565882,kmeans,6
7,0.0,0.15996297103451187,1.632895306662258,201.67510511202525,kmeans,7
8,0.0,0.14287619433090662,1.724325604922691,191.96848461387734,kmeans,8
9,0.0,0.14600960193026213,1.64654316510963,181.0697433614638,kmeans,9
10,0.0,0.14634484155878863,1.6624004688945238,171.55913653933263,kmeans,10
